date,time,title
20170609.0,21:08,5月金银币市场盘点来了，涨幅最大的你持有了吗？
20170609.0,21:08,央行叒叕买黄金啦！2092.33吨！
20170609.0,15:22,国际金价料继续区间波动，IMF警告FED不要“偏离航线”
20170609.0,15:07,国际金价短线上看1979美元
20170609.0,14:36,美联储行动疑惑难猜，黄金涨势重启迎战美国5月CPI
20170609.0,14:07,金价陷入震荡，等待下周美国CPI数据和美联储决议
20170609.0,14:05,现货黄金交易策略：金价陷入震荡，等待下周美国CPI数据和美联储决议
20170609.0,13:21,"一张图：2023/06/09黄金原油外汇股指""枢纽点+多空占比""一览"
20170609.0,12:30,6月美联储会议前夜 美债多空博弈恐将加剧
20170609.0,11:14,初请数据急涨创纪录 美元跌至两周新低 伦敦金重返1960大关
20170609.0,10:25,美国经济衰退风险不断 金价维持小区间内震荡走势
20170609.0,10:24,美联储加息预期成谜 黄金仍未破位区间
20170609.0,10:22,美国国债收益率走强 黄金遭受沉重打压
20170609.0,10:15,黄金市场分析：下次美联储决议前，金价料延续区间震荡
20170609.0,10:13,美初请数据意外增加 黄金期货出现惊天逆转
20170609.0,10:11,黄金短期继续弱势盘整
20170609.0,10:08,美国就业市场疲软 伦敦金继续维持区间调整
20170609.0,10:08,初请数据“扭转乾坤”，美元录得近三个月最差表现，金价图谋1980关口
20170609.0,10:06,美国通胀回落趋势明确 黄金继续震荡洗盘
20170609.0,09:15,美国失业申请人数超预期新高，贵金属价格止跌反弹
20170609.0,08:56,现货黄金反弹有限，FED须倾听逾半个世纪未见的不确定性
20170609.0,08:04,市场大变脸！美国数据频传坏消息 黄金爆发
20170609.0,07:32,光大期货：黄金偏强震荡 市场聚焦议息前的通胀数据
20170608.0,15:16,每日论金 | 国际金价向下破位概率增加
20170608.0,15:16,熊猫币宣传推广大使评选活动火热进行中！
20170608.0,15:04,国际金价后市关注1932美元附近支撑
20170608.0,13:54,现货黄金交易策略：技术面看空信号增强，关注初请数据
20170608.0,13:10,"一张图：2023/06/08黄金原油外汇股指""枢纽点+多空占比""一览"
20170608.0,11:14,贝莱德建议战术性配置黄金，背后存在哪三个理由？
20170608.0,09:57,黄金市场分析：若跌破1930美元，下方支撑将下移至1917-1900美元区域
20170608.0,09:56,现货黄金继续窄幅波动，两大风险事件来临前市场避免押注
20170607.0,15:59,美联储或暂停政策紧缩 金价区间内反复拉
20170607.0,15:55,每日论金 | 上方阻力位关注1980美元
20170607.0,15:55,世界铂金投资协会：建立铂金交易投资生态系统
20170607.0,15:48,国际金价重新走低，FED紧缩周期或延长
20170607.0,15:21,黄金抛售潮突袭！金价短线急跌近10美元 空头目标首先测试这一水平
20170607.0,15:17,国际金价短线下看1948美元
20170607.0,14:54,上方阻力重重，短期之内，现货黄金能否再创新高?
20170607.0,14:45,美联储也进入静默期 金价维持窄幅震荡
20170607.0,14:39,美联储下周加息概率骤降 黄金期货弱势震荡
20170607.0,14:39,黄金短线突然急跌！金价刚刚跌破1960
20170607.0,14:26,欧央行多名官员发表鹰派言论 黄金短期有调整需求
20170607.0,14:08,现货黄金交易策略：金价窄幅震荡，关注耶伦听证会
20170607.0,13:28,当“书法”遇“高考”请开始作答
20170607.0,13:10,"一张图：2023/06/07黄金原油外汇股指""枢纽点+多空占比""一览"
20170609.0,21:08,5月金银币市场盘点来了，涨幅最大的你持有了吗？
20170609.0,21:08,央行叒叕买黄金啦！2092.33吨！
20170609.0,15:22,国际金价料继续区间波动，IMF警告FED不要“偏离航线”
20170609.0,15:07,国际金价短线上看1979美元
20170609.0,14:36,美联储行动疑惑难猜，黄金涨势重启迎战美国5月CPI
20170609.0,14:07,金价陷入震荡，等待下周美国CPI数据和美联储决议
20170609.0,14:05,现货黄金交易策略：金价陷入震荡，等待下周美国CPI数据和美联储决议
20170609.0,13:21,"一张图：2023/06/09黄金原油外汇股指""枢纽点+多空占比""一览"
20170609.0,12:30,6月美联储会议前夜 美债多空博弈恐将加剧
20170609.0,11:14,初请数据急涨创纪录 美元跌至两周新低 伦敦金重返1960大关
20170609.0,10:25,美国经济衰退风险不断 金价维持小区间内震荡走势
20170609.0,10:24,美联储加息预期成谜 黄金仍未破位区间
20170609.0,10:22,美国国债收益率走强 黄金遭受沉重打压
20170609.0,10:15,黄金市场分析：下次美联储决议前，金价料延续区间震荡
20170609.0,10:13,美初请数据意外增加 黄金期货出现惊天逆转
20170609.0,10:11,黄金短期继续弱势盘整
20170609.0,10:08,美国就业市场疲软 伦敦金继续维持区间调整
20170609.0,10:08,初请数据“扭转乾坤”，美元录得近三个月最差表现，金价图谋1980关口
20170609.0,10:06,美国通胀回落趋势明确 黄金继续震荡洗盘
20170609.0,09:15,美国失业申请人数超预期新高，贵金属价格止跌反弹
20170609.0,08:56,现货黄金反弹有限，FED须倾听逾半个世纪未见的不确定性
20170609.0,08:04,市场大变脸！美国数据频传坏消息 黄金爆发
20170609.0,07:32,光大期货：黄金偏强震荡 市场聚焦议息前的通胀数据
20170608.0,15:16,每日论金 | 国际金价向下破位概率增加
20170608.0,15:16,熊猫币宣传推广大使评选活动火热进行中！
20170608.0,15:04,国际金价后市关注1932美元附近支撑
20170608.0,13:54,现货黄金交易策略：技术面看空信号增强，关注初请数据
20170608.0,13:10,"一张图：2023/06/08黄金原油外汇股指""枢纽点+多空占比""一览"
20170608.0,11:14,贝莱德建议战术性配置黄金，背后存在哪三个理由？
20170608.0,09:57,黄金市场分析：若跌破1930美元，下方支撑将下移至1917-1900美元区域
20170608.0,09:56,现货黄金继续窄幅波动，两大风险事件来临前市场避免押注
20170607.0,15:59,美联储或暂停政策紧缩 金价区间内反复拉
20170607.0,15:55,每日论金 | 上方阻力位关注1980美元
20170607.0,15:55,世界铂金投资协会：建立铂金交易投资生态系统
20170607.0,15:48,国际金价重新走低，FED紧缩周期或延长
20170607.0,15:21,黄金抛售潮突袭！金价短线急跌近10美元 空头目标首先测试这一水平
20170607.0,15:17,国际金价短线下看1948美元
20170607.0,14:54,上方阻力重重，短期之内，现货黄金能否再创新高?
20170607.0,14:45,美联储也进入静默期 金价维持窄幅震荡
20170607.0,14:39,美联储下周加息概率骤降 黄金期货弱势震荡
20170607.0,14:39,黄金短线突然急跌！金价刚刚跌破1960
